name:ID(Entities [Entity Service]-ca),:LABEL
3D printing,Entities [Entity Service]
5G,Entities [Entity Service]
Aerospace,Entities [Entity Service]
Airline - Transportation,Entities [Entity Service]
Alcohol - CPG,Entities [Entity Service]
Auto Manufacturer - Auto,Entities [Entity Service]
Banking - Business & finance,Entities [Entity Service]
Beauty/Hygiene - CPG,Entities [Entity Service]
Beverage - CPG,Entities [Entity Service]
Biology,Entities [Entity Service]
Bitcoin cryptocurrency,Entities [Entity Service]
Cybersecurity,Entities [Entity Service]
Data Privacy and Protection,Entities [Entity Service]
Dogs,Entities [Entity Service]
Don,Entities [Entity Service]
Education Related - Government/Education,Entities [Entity Service]
Energy Technology,Entities [Entity Service]
Fantasy sports,Entities [Entity Service]
Fast food Restaurants,Entities [Entity Service]
Financial Technology,Entities [Entity Service]
Financial services,Entities [Entity Service]
Fitness Novelty,Entities [Entity Service]
Food,Entities [Entity Service]
Gas/Oil - Energy,Entities [Entity Service]
Genealogy,Entities [Entity Service]
Geology,Entities [Entity Service]
Gluten-Free,Entities [Entity Service]
Grocery/Convenience - Retail,Entities [Entity Service]
History,Entities [Entity Service]
Holistic healing/nutrition,Entities [Entity Service]
Industries,Entities [Entity Service]
Information security,Entities [Entity Service]
Insurance,Entities [Entity Service]
Lunch,Entities [Entity Service]
Marine life,Entities [Entity Service]
Meals,Entities [Entity Service]
Medical technology,Entities [Entity Service]
Multi-Purpose Department - Retail,Entities [Entity Service]
Non-profit - Government/Education,Entities [Entity Service]
Organic,Entities [Entity Service]
Pets,Entities [Entity Service]
Products - B2B,Entities [Entity Service]
QSR - Dining,Entities [Entity Service]
Retirement planning,Entities [Entity Service]
Science,Entities [Entity Service]
Service/Supply - Auto,Entities [Entity Service]
Services,Entities [Entity Service]
Services - B2B,Entities [Entity Service]
TV/Movies Related - Entertainment,Entities [Entity Service]
Technology,Entities [Entity Service]
Train/Bus - Transportation,Entities [Entity Service]
Travel,Entities [Entity Service]
US Military,Entities [Entity Service]
