name:ID(Events [Entity Service]-ca),:LABEL
2020 Democratic National Convention (Measurement),Events [Entity Service]
2022 MLS Season,Events [Entity Service]
2022 United Kingdom rail strikes,Events [Entity Service]
2022 United States midterm elections,Events [Entity Service]
56th Annual CMA Awards 2022,Events [Entity Service]
Alabama at LSU,Events [Entity Service]
Appalachian State at Marshall,Events [Entity Service]
Arizona's U.S. Senate election,Events [Entity Service]
Arizona's gubernatorial election,Events [Entity Service]
Bills at Jets,Events [Entity Service]
Black Friday,Events [Entity Service]
Bloomberg Daybreak,Events [Entity Service]
Bucks at Hawks,Events [Entity Service]
Bucks at Spurs,Events [Entity Service]
COP27 Sharm Al Sheikh,Events [Entity Service]
COVID-19: Latest news updates from around the world,Events [Entity Service]
California's 13th Congressional District election,Events [Entity Service]
California's 27th Congressional District election,Events [Entity Service]
Celtics at Knicks,Events [Entity Service]
Dia de los Muertos,Events [Entity Service]
Diwali,Events [Entity Service]
End of World War I,Events [Entity Service]
Florida State at Miami (FL),Events [Entity Service]
Florida's U.S. Senate election,Events [Entity Service]
Florida's gubernatorial election,Events [Entity Service]
Georgia's U.S. Senate election,Events [Entity Service]
Georgia's gubernatorial election,Events [Entity Service]
Georgia's parliamentary speaker resigns following protests,Events [Entity Service]
Good Friday,Events [Entity Service]
Graduation 2022,Events [Entity Service]
Hanukkah,Events [Entity Service]
Indiana at Ohio State,Events [Entity Service]
Iowa's 3rd Congressional District election,Events [Entity Service]
January 6 Committee Hearings,Events [Entity Service]
LSU at Arkansas,Events [Entity Service]
Los Angeles FC vs Philadelphia Union,Events [Entity Service]
Louisiana Tech at UTSA,Events [Entity Service]
MLB World Series,Events [Entity Service]
Maine's 2nd Congressional District election,Events [Entity Service]
Manchester City vs Brentford FC,Events [Entity Service]
Martin Luther King Jr. Day,Events [Entity Service]
Maryland gubernatorial election,Events [Entity Service]
Memorial Day ,Events [Entity Service]
Michigan at Rutgers,Events [Entity Service]
Michigan's 7th Congressional District election,Events [Entity Service]
Nebraska at Michigan,Events [Entity Service]
Nebraska's 2nd Congressional District election,Events [Entity Service]
Nets at Hornets,Events [Entity Service]
Nevada's U.S. Senate election,Events [Entity Service]
New Hampshire's U.S. Senate election,Events [Entity Service]
New Years Eve,Events [Entity Service]
Ohio's 1st Congressional District election,Events [Entity Service]
Oklahoma at West Virginia,Events [Entity Service]
Patrick Stewart unveils first full trailer for Star Trek: Picard,Events [Entity Service]
Pennsylvania's 7th Congressional District election,Events [Entity Service]
Pennsylvania's U.S. Senate election,Events [Entity Service]
Pennsylvania's gubernatorial election,Events [Entity Service]
Phillies at Astros,Events [Entity Service]
Premier League,Events [Entity Service]
Spartans at Bulldogs,Events [Entity Service]
Tennessee at Georgia,Events [Entity Service]
Texas gubernatorial election,Events [Entity Service]
Texas's 15th Congressional District election,Events [Entity Service]
Thanksgiving Day ,Events [Entity Service]
The 2022 Atlantic hurricane season is underway,Events [Entity Service]
The UN Climate Change Conference 2021 has started 🌍,Events [Entity Service]
Timberwolves at Grizzlies,Events [Entity Service]
Tottenham Hotspur vs Liverpool FC,Events [Entity Service]
Trail Blazers at Heat,Events [Entity Service]
Tulane at Tulsa,Events [Entity Service]
Veterans Day ,Events [Entity Service]
Vikings at Commanders,Events [Entity Service]
Virginia's 7th Congressional District election,Events [Entity Service]
Wildcats at Hawkeyes,Events [Entity Service]
Winter Storm Jasper forecast to bring snow and ice to South,Events [Entity Service]
Wisconsin's U.S. Senate election,Events [Entity Service]
