name:ID(Political Body-ca),:LABEL
Federal Bureau of Investigation,Political Body
Federal Reserve,Political Body
International Space Station,Political Body
North Atlantic Treaty Organization,Political Body
Republican National Committee,Political Body
Supreme Court of the United States,Political Body
The White House,Political Body
US Department of State,Political Body
US Department of the Treasury,Political Body
US Environmental Protection Agency,Political Body
US Military,Political Body
United Nations,Political Body
United States Air Force,Political Body
United States Coast Guard,Political Body
United States Congress,Political Body
United States House of Representatives,Political Body
United States Postal Service,Political Body
United States Secret Service,Political Body
United States Senate,Political Body
