name:ID(Sports Event-ca),:LABEL
2022 FIFA World Cup,Sports Event
2022 MLS Season,Sports Event
Alabama at LSU,Sports Event
Appalachian State at Marshall,Sports Event
Bills at Jets,Sports Event
Bucks at Hawks,Sports Event
Bucks at Spurs,Sports Event
Celtics at Knicks,Sports Event
Florida State at Miami (FL),Sports Event
Indiana at Ohio State,Sports Event
LSU at Arkansas,Sports Event
Los Angeles FC vs Philadelphia Union,Sports Event
Louisiana Tech at UTSA,Sports Event
MLB World Series,Sports Event
Manchester City vs Brentford FC,Sports Event
Michigan at Rutgers,Sports Event
Nebraska at Michigan,Sports Event
Nets at Hornets,Sports Event
Oklahoma at West Virginia,Sports Event
Phillies at Astros,Sports Event
Spartans at Bulldogs,Sports Event
Tennessee at Georgia,Sports Event
Timberwolves at Grizzlies,Sports Event
Tottenham Hotspur vs Liverpool FC,Sports Event
Trail Blazers at Heat,Sports Event
Tulane at Tulsa,Sports Event
Vikings at Commanders,Sports Event
Wildcats at Hawkeyes,Sports Event
