:START_ID(Tweet),:END_ID(American Football Game-ca),:TYPE,Specification
598,Tennessee at Georgia,references,
599,Tennessee at Georgia,references,
1137,Nebraska at Michigan,references,
1152,Michigan at Rutgers,references,
1186,Florida State at Miami (FL),references,
1727,Louisiana Tech at UTSA,references,
3269,Michigan at Rutgers,references,
3271,Michigan at Rutgers,references,
4982,LSU at Arkansas,references,
4983,LSU at Arkansas,references,
5000,Alabama at LSU,references,
5001,Alabama at LSU,references,
5002,Alabama at LSU,references,
5003,Alabama at LSU,references,
5004,Alabama at LSU,references,
5005,Alabama at LSU,references,
5006,Alabama at LSU,references,
5007,Alabama at LSU,references,
5008,Alabama at LSU,references,
5009,Alabama at LSU,references,
5010,Tulane at Tulsa,references,
5016,Alabama at LSU,references,
5280,Vikings at Commanders,references,
5436,Bills at Jets,references,
5452,Indiana at Ohio State,references,
5986,Oklahoma at West Virginia,references,
5987,Appalachian State at Marshall,references,
