:START_ID(Tweet),:END_ID(Athlete-ca),:TYPE,Specification
395,Justin Verlander,references,
512,Brittney Griner,references,Brittney Griner
809,Brittney Griner,references,Brittney Griner
877,Ja Morant,references,
2161,Justin Verlander,references,
2164,Jeremy Peña,references,
2169,Jeremy Peña,references,
2948,Brittney Griner,references,Brittney Griner
4039,Brittney Griner,references,Brittney Griner
4644,Shohei Ohtani,references,Shohei Ohtani (大谷翔平)
4644,Xander Bogaerts,references,
4672,Brittney Griner,references,Brittney Griner
5084,Brittney Griner,references,Brittney Griner
5280,Carson Wentz,references,Carson Wentz
5309,Brittney Griner,references,Brittney Griner
5374,Kaka ,references,
