:START_ID(Tweet),:END_ID(Colleges & Universities-ca),:TYPE,Specification
598,University of Georgia,references,
599,University of Georgia,references,
732,Brown University,references,
772,Brown University,references,
1137,University of Michigan,references,
1152,University of Michigan,references,
1191,Clemson University,references,
3054,University of Iowa,references,
3054,Bethune-Cookman University,references,
3231,University of Utah,references,
3479,University of Michigan,references,
4132,Jackson State University,references,
4982,Louisiana State University,references,
4983,Louisiana State University,references,
4998,Louisiana State University,references,
5000,Louisiana State University,references,
5001,Louisiana State University,references,
5002,Louisiana State University,references,
5003,Louisiana State University,references,
5004,Louisiana State University,references,
5005,Louisiana State University,references,
5006,Louisiana State University,references,
5007,Louisiana State University,references,
5008,Louisiana State University,references,
5091,Michigan State University,references,
5100,Michigan State University,references,
5452,Ohio State University,references,
5464,University of Oklahoma,references,
5591,Brown University,references,
5593,Brown University,references,
5986,West Virginia University,references,
5994,West Virginia University,references,
