:START_ID(Tweet),:END_ID(Ongoing News Story-ca),:TYPE,Specification
38,COVID-19,references,
200,Russo-Ukrainian conflict,references,
238,COVID-19,references,
254,COVID-19,references,
260,COVID-19,references,
265,COVID-19,references,
400,COVID-19,references,
408,COVID-19,references,
420,COVID-19,references,
551,COVID-19,references,
573,COVID-19,references,
644,COVID-19,references,
820,COVID-19,references,
829,Russo-Ukrainian conflict,references,
830,COVID-19,references,
871,COVID-19,references,
890,Russo-Ukrainian conflict,references,
962,COVID-19,references,
966,COVID-19,references,
1037,COVID-19,references,
1173,COVID-19,references,
1174,COVID-19,references,
1321,COVID-19,references,
1387,COVID-19,references,
1405,COVID-19,references,
1454,COVID-19,references,
1573,COVID-19,references,
1724,COVID-19,references,
1750,COVID-19,references,
1850,COVID-19,references,
1866,COVID-19,references,
1867,COVID-19,references,
1868,COVID-19,references,
1897,COVID-19,references,
1900,COVID-19,references,
1901,COVID-19,references,
1905,COVID-19,references,
1915,COVID-19,references,
1935,COVID-19,references,
1955,COVID-19,references,
1999,COVID-19,references,
2084,COVID-19,references,
2339,Russo-Ukrainian conflict,references,
2439,COVID-19,references,
2451,Russo-Ukrainian conflict,references,
2655,COVID-19,references,
2755,COVID-19,references,
2758,COVID-19,references,
2759,COVID-19,references,
2760,COVID-19,references,
2767,COVID-19,references,
2768,COVID-19,references,
2769,COVID-19,references,
2770,COVID-19,references,
2775,COVID-19,references,
2779,COVID-19,references,
2782,COVID-19,references,
2784,COVID-19,references,
2789,COVID-19,references,
2791,COVID-19,references,
2793,COVID-19,references,
2794,COVID-19,references,
2817,COVID-19,references,
2869,COVID-19,references,
2928,Russo-Ukrainian conflict,references,
3040,COVID-19,references,
3084,COVID-19,references,
3392,COVID-19,references,
3523,Russo-Ukrainian conflict,references,
3546,COVID-19,references,
3554,COVID-19,references,
3628,COVID-19,references,
3629,COVID-19,references,
3631,COVID-19,references,
3632,COVID-19,references,
3633,COVID-19,references,
3634,COVID-19,references,
3636,COVID-19,references,
3644,COVID-19,references,
3647,COVID-19,references,
3648,COVID-19,references,
3712,COVID-19,references,
3718,COVID-19,references,
3773,COVID-19,references,
3776,COVID-19,references,
3835,Russo-Ukrainian conflict,references,
3860,COVID-19,references,
4114,COVID-19,references,
4118,COVID-19,references,
4119,COVID-19,references,
4134,COVID-19,references,
4162,COVID-19,references,
4164,COVID-19,references,
4167,COVID-19,references,
4223,COVID-19,references,
4239,COVID-19,references,
4251,COVID-19,references,
4324,COVID-19,references,
4344,COVID-19,references,
4395,COVID-19,references,
4535,COVID-19,references,
4583,COVID-19,references,
4594,COVID-19,references,
4663,COVID-19,references,
4673,Russo-Ukrainian conflict,references,
4679,Russo-Ukrainian conflict,references,
4681,Russo-Ukrainian conflict,references,
4682,Russo-Ukrainian conflict,references,
4684,Russo-Ukrainian conflict,references,
4700,COVID-19,references,
4949,COVID-19,references,
4973,COVID-19,references,
4979,COVID-19,references,
5015,COVID-19,references,
5077,COVID-19,references,
5081,COVID-19,references,
5178,COVID-19,references,
5298,COVID-19,references,
5308,COVID-19,references,
5312,COVID-19,references,
5323,COVID-19,references,
5330,COVID-19,references,
5364,Russo-Ukrainian conflict,references,
5372,COVID-19,references,
5373,COVID-19,references,
5423,COVID-19,references,
5459,Russo-Ukrainian conflict,references,
5460,Russo-Ukrainian conflict,references,
5568,COVID-19,references,
5668,COVID-19,references,
5702,COVID-19,references,
5705,COVID-19,references,
5709,COVID-19,references,
5834,Russo-Ukrainian conflict,references,
5878,COVID-19,references,
5962,COVID-19,references,
5971,COVID-19,references,
