:START_ID(Tweet),:END_ID(Sports Event-ca),:TYPE,Specification
395,MLB World Series,references,
598,Tennessee at Georgia,references,
599,Tennessee at Georgia,references,
813,MLB World Series,references,
877,Timberwolves at Grizzlies,references,
1137,Nebraska at Michigan,references,
1152,Michigan at Rutgers,references,
1186,Florida State at Miami (FL),references,
1187,Celtics at Knicks,references,
1187,Nets at Hornets,references,
1429,2022 MLS Season,references,
1530,MLB World Series,references,
1532,MLB World Series,references,
1532,Phillies at Astros,references,
1663,MLB World Series,references,
1664,MLB World Series,references,
1664,Phillies at Astros,references,
1666,MLB World Series,references,
1666,Phillies at Astros,references,
1720,2022 MLS Season,references,
1720,Los Angeles FC vs Philadelphia Union,references,
1727,Louisiana Tech at UTSA,references,
1731,Bucks at Spurs,references,
2161,MLB World Series,references,
2163,MLB World Series,references,
2164,MLB World Series,references,
2165,MLB World Series,references,
2165,Phillies at Astros,references,
2166,MLB World Series,references,
2166,Phillies at Astros,references,
2167,MLB World Series,references,
2168,MLB World Series,references,
2169,MLB World Series,references,
2170,MLB World Series,references,
2170,Phillies at Astros,references,
2171,MLB World Series,references,
2171,Phillies at Astros,references,
3054,Wildcats at Hawkeyes,references,
3161,Phillies at Astros,references,
3162,Phillies at Astros,references,
3269,Michigan at Rutgers,references,
3271,Michigan at Rutgers,references,
3463,MLB World Series,references,
4077,MLB World Series,references,
4378,Phillies at Astros,references,
4434,Bucks at Hawks,references,
4554,2022 MLS Season,references,
4554,Los Angeles FC vs Philadelphia Union,references,
4644,Tottenham Hotspur vs Liverpool FC,references,
4820,2022 FIFA World Cup,references,
4982,LSU at Arkansas,references,
4983,LSU at Arkansas,references,
5000,Alabama at LSU,references,
5001,Alabama at LSU,references,
5002,Alabama at LSU,references,
5003,Alabama at LSU,references,
5004,Alabama at LSU,references,
5005,Alabama at LSU,references,
5006,Alabama at LSU,references,
5007,Alabama at LSU,references,
5008,Alabama at LSU,references,
5009,Alabama at LSU,references,
5010,Tulane at Tulsa,references,
5016,Alabama at LSU,references,
5091,Spartans at Bulldogs,references,
5280,Vikings at Commanders,references,
5436,Bills at Jets,references,
5452,Indiana at Ohio State,references,
5498,Trail Blazers at Heat,references,
5612,Manchester City vs Brentford FC,references,
5846,MLB World Series,references,
5846,Phillies at Astros,references,
5854,Phillies at Astros,references,
5877,Phillies at Astros,references,
5986,Oklahoma at West Virginia,references,
5987,Appalachian State at Marshall,references,
