:START_ID(Tweet),:END_ID(Sports Team-ca),:TYPE,Specification
395,Houston Astros,references,
598,Georgia Bulldogs,references,
813,Houston Astros,references,
877,Memphis Grizzlies,references,
1061,Houston Astros,references,
1061,Philadelphia Phillies,references,
1137,Michigan Wolverines,references,
1152,Michigan Wolverines,references,
1429,Philadelphia Union,references,
1530,Houston Astros,references,
1532,Houston Astros,references,
1661,Houston Astros,references,
1661,Philadelphia Phillies,references,
1663,Houston Astros,references,
1663,Philadelphia Phillies,references,
1664,Houston Astros,references,
1666,Houston Astros,references,
1720,Los Angeles FC,references,
1727,UTSA Roadrunners,references,
1731,San Antonio Spurs,references,
2160,Houston Astros,references,
2161,Houston Astros,references,
2162,Houston Astros,references,
2163,Houston Astros,references,
2164,Houston Astros,references,
2165,Houston Astros,references,
2166,Houston Astros,references,
2167,Houston Astros,references,
2168,Houston Astros,references,
2169,Houston Astros,references,
2170,Houston Astros,references,
2171,Houston Astros,references,
2885,India,references,
2894,Houston Astros,references,
3054,Iowa Hawkeyes,references,
3161,Houston Astros,references,
3162,Houston Astros,references,
3271,Rutgers Scarlet Knights,references,Scarlet Knights
3463,Houston Astros,references,
3824,Cincinnati Bengals,references,
4077,Houston Astros,references,
4378,Houston Astros,references,
4434,Atlanta Hawks,references,
4554,Los Angeles FC,references,
4644,Liverpool FC,references,
4661,Pittsburgh Steelers,references,
4820,USA,references,
4882,India,references,
4982,LSU Tigers,references,
4983,LSU Tigers,references,
5001,LSU Tigers,references,
5002,LSU Tigers,references,
5003,LSU Tigers,references,
5004,LSU Tigers,references,
5006,LSU Tigers,references,
5007,LSU Tigers,references,
5008,LSU Tigers,references,
5010,Tulane Green Wave,references,
5091,Michigan State Spartans,references,
5280,Washington Commanders,references,
5280,Minnesota Vikings,references,
5374,USA,references,
5436,Buffalo Bills,references,
5452,Ohio State Buckeyes,references,Buckeyes
5452,Milwaukee Bucks,references,
5498,Portland Trail Blazers,references,
5686,San Diego State Aztecs,references,
5832,Houston Astros,references,
5846,Houston Astros,references,
5846,Philadelphia Phillies,references,
5877,Houston Astros,references,
5986,West Virginia Mountaineers,references,
5987,Marshall Thundering Herd,references,
